INDEX,INPUT-SELECT,INPUT-SELECT,INPUT-RANGE,INPUT-RANGE,DESC,DESC,DESC,DESC,DESC,OUTPUT,OUTPUT,OUTPUT,OUTPUT,OUTPUT,OUTPUT,OUTPUT
NO,COMODITY,TANAH,P,K,N-ZA,N-urea,N total,P2O5,K2O,ZA,Urea,SP-36,KCl,NPK 15-10-12,NPK 15-15-15,NPK 16-16-16
64,KENTANG,NON-ANDISOL,R,R,58,135,193,279,270,275,300,775,450,2250,1800,1688
65,KENTANG,NON-ANDISOL,R,S,58,135,193,279,225,275,300,775,375,1875,1500,1406
66,KENTANG,NON-ANDISOL,R,T,58,135,193,279,180,275,300,775,300,1500,1200,1125
67,KENTANG,NON-ANDISOL,S,R,58,135,193,252,270,275,300,700,450,2250,1800,1688
68,KENTANG,NON-ANDISOL,S,S,58,135,193,252,225,275,300,700,375,1875,1500,1406
69,KENTANG,NON-ANDISOL,S,T,58,135,193,252,180,275,300,700,300,1500,1200,1125
70,KENTANG,NON-ANDISOL,T,R,58,135,193,216,270,275,300,600,450,2250,1800,1688
71,KENTANG,NON-ANDISOL,T,S,58,135,193,216,225,275,300,600,375,1875,1500,1406
72,KENTANG,NON-ANDISOL,T,T,58,135,193,216,180,275,300,600,300,1500,1200,1125
73,BAWANG PUTIH,ANDISOL,R,R,84,113,197,162,150,400,250,450,250,1250,1000,938
74,BAWANG PUTIH,ANDISOL,R,S,84,113,197,162,120,400,250,450,200,1000,800,750
75,BAWANG PUTIH,ANDISOL,R,T,84,113,197,162,90,400,250,450,150,750,600,563
76,BAWANG PUTIH,ANDISOL,S,R,84,113,197,135,150,400,250,375,250,1250,1000,938
77,BAWANG PUTIH,ANDISOL,S,S,84,113,197,135,120,400,250,375,200,1000,800,750
78,BAWANG PUTIH,ANDISOL,S,T,84,113,197,135,90,400,250,375,150,750,600,563
79,BAWANG PUTIH,ANDISOL,T,R,84,113,197,108,150,400,250,300,250,1250,1000,938
80,BAWANG PUTIH,ANDISOL,T,S,84,113,197,108,120,400,250,300,200,1000,800,750
81,BAWANG PUTIH,ANDISOL,T,T,84,113,197,108,90,400,250,300,150,750,600,563
